codigo;descripcion;unidades;um;precio
17770;D.TOMAS CLASICO LINDOS (25);1;Caja;90,00
1783;CAPSTAN GOLD NAVY CUT (50G);5;Lata;10,90
17853;PANTER DESERT 20 ND;10;Caja;4,70
17859;NEOS MINI JAVA 50   NL;2;Caja;18,00
17869;BRANIFF NEGRO CAPA NATURAL 20;10;Estuche;3,10
17945;STEEPLE MEZCLA AMERICANA 350 G;1;Lata;71,00
1796;CONDAL ROBUSTO (25);1;Caja;162,50
18014;MONTECRISTO OPEN REGATA 20;1;Caja;292,00
18015;MONTECRISTO OPEN EAGLE 20;1;Caja;568,00
18017;MONTECRISTO OPEN JUNIOR 20;1;Caja;182,00
1803;CONDAL CHURCHILL  (25);1;Caja;212,50
18100;AJJA 17 EXTRA BLONDE  40 GR;10;Bolsa;9,90
18151;MACANUDO ASCOTS MADURO 10;10;Caja;11,60
1816;DANSKE CLUB BLACK LUXURY (50G);5;Bolsa;8,50
1820;EXCLUSIV MIXTURE Nº 2 (50 G);5;Bolsa;5,50
1822;J.CORTES MINI             (20);5;Estuche;11,50
18294;CHESTERFIELD ROLL YOUR OWN 30 G;10;Bolsa;6,50
18327;ORIGENES 30 G;10;Bolsa;6,90
18416;BOLIVAR ROYAL CORONAS TUBO 10;1;Caja;203,00
18417;PUNCH PUNCH TUBO 10;1;Caja;197,00
1845;DAVIDOFF ANIVERSARIO SPECIAL'T'  (20);1;Caja;536,00
18627;SIGNATURE FINOS BLUE 20;5;Lata;5,10
18697;PUEBLO  30 G  BURLEY BLEND;10;Bolsa;7,10
18725;AMIGOS POCKET FILTER 20;10;Estuche;3,30
18726;AMIGOS POCKET 20;10;Estuche;3,40
18760;ROLL´S RED 17;10;Estuche;2,70
18762;ROLL´S NEGRO FILTER 17;10;Estuche;2,70
18775;CLUBMASTER CIGARILLO RED 20;10;Estuche;5,20
18793;CHESTERFIELD BLANDO;10;Cajetilla;6,00
18803;BRANIFF LINEA D'ORO RED 20;10;Estuche;3,30
18804;BRANIFF LINEA D'ORO WHITE 20;10;Estuche;3,30
18861;MONTECRISTO OPEN REGATA  T 3;1;Estuche;45,90
18862;MONTECRISTO OPEN EAGLE T 3;1;Estuche;87,30
18863;MONTECRISTO OPEN MASTER T 3;1;Estuche;69,90
18864;MONTECRISTO OPEN JUNIOR T 3;1;Estuche;29,40
1889;BORKUM RIFF MALT BRONZE LAT (200 G);1;Lata;22,80
1907;DAVIDOFF SCOTTISH MIXTURE NL(50G);5;Lata;17,20
19078;MARLBORO TOUCH AZUL;10;Cajetilla;6,00
19102;DUCADOS RUBIO RED SOFT (20);10;Cajetilla;5,70
19117;Vegafina Classic Minutos Ecobag (16);5;Estuche;28,00
19138;ROM Y JUL  JULIETA (5);1;Caja;50,00
19140;ROM Y JUL WIDE CHURCHILLS 10;1;Caja;234,00
19141;ROM Y JUL WIDE CHURCHILLS 3 TUBO;1;Caja;72,30
19159;CANDLELIGHT FILTER WHITE 10;10;Caja;1,60
19185;MAC BAREN 7 SEAS GOLD B. 40 G;5;Bolsa;4,10
19314;L&M BLUE BLANDO;10;Cajetilla;5,75
19379;JPS BLACK 100S;10;Cajetilla;5,85
1942;W.O.LARSEN OLD FASHION. (100G);3;Lata;19,30
1952;CONDAL CORONA INMENSO  (25);1;Caja;206,25
19643;MONTE NEGRO CORONAS 48 HUMIDOR PW;1;Lata;81,60
19676;FLOR DEL SOL ROBUSTO 10;1;Estuche;29,00
19677;FLOR DEL SOL SHORT ROBUSTO 10;1;Estuche;27,00
19683;CANDLELIGHT FILTER GOLD 17;10;Caja;2,60
19758;BULLBRAND FILTER CIGARS 20 HL;10;Caja;2,70
19968;DAVIDOFF P. D'ORO SUBLIMES 4;1;Estuche;16,00
19969;DAVIDOFF P. D'ORO SUBLIMES 10;1;Caja;40,00
19974;DAVIDOFF P. D'ORO NOTABLES 4;1;Estuche;24,00
19975;DAVIDOFF P. D'ORO NOTABLES 10;1;Caja;60,00
19978;DAVIDOFF P. D'ORO MAGNIFICOS10;1;Caja;61,20
1999;MAC LINTOCK WILD C.  50 G;5;Bolsa;5,50
2001;W.O.LARSEN CLASSIC      (100G);3;Lata;19,30
20030;DUCADOS 25 AZUL DURO;8;Cajetilla;7,50
20071;NOBEL STYLE;10;Cajetilla;5,60
20154;MCCHRYSTAL S ORIG & GEN SNUFF 4 G;12;Lata;1,00
20227;AMIGOS FILTER 20     CN;10;Caja;4,70
20228;AMIGOS (50)   CN;1;Caja;17,00
20242;COBURN CAPA NATURAL RED 20;10;Estuche;3,80
20243;COBURN CAPA NATURAL BLUE 20;10;Estuche;3,85
20280;AMIGOS MEDIUM 10;10;Estuche;2,60
20300;BULLBRAND A.B. FILTER CIGARS 20;10;Caja;2,70
20313;TOSCANELLO NERO 5;10;Estuche;4,90
20314;HERENCIA PALMERA;10;Cajetilla;4,80
20343;SELEC P. ROBUSTOS TR 2012 (10);1;Caja;251,00
20344;H. UPMANN HALF CORONA  25;1;Caja;167,50
20345;H. UPMANN HALF CORONA 5;1;Caja;35,00
20351;F.T.PARTAGAS SERIE E N.2  (25);1;Caja;670,00
20352;F.T.PARTAGAS SERIE E N.2  (5);1;Caja;134,00
20376;CALYPSO REIG 1  (18);10;Estuche;5,65
20461;DUCADOS RUBIO 112G;1;Bolsa;26,50
20745;H.MONTERREY EPICURE N.2 TUBO 3;1;Estuche;65,70
20820;BARLOVENTO BREVAS (50);1;Estuche;32,50
20943;VERELLEN PONCHO 10;10;Caja;3,00
21109;QUINTERO FAVORITOS    25;1;Caja;117,50
21110;RAFAEL GONZ. PERLAS 25;1;Caja;93,75
21130;CAMEL PICADURA DE LIAR 70G;5;Lata;16,90
21141;WINSTON PICADURA DE LIAR 70G;5;Lata;16,90
2117;CONDAL N.5  (25);1;Caja;150,00
21190;COBURN CAPA NATURAL RED 10;20;Estuche;2,00
2121;PUNCH PETIT CORONATIONS   (25);1;Caja;220,00
21250;MONTE NEGRO BUCANEROS 10 PW;10;Caja;3,00
21294;VEGAFINA SERIE 2 GRAN CORONA (10);1;Caja;48,00
21295;VEGAFINA PANETELAS F2 25;1;Caja;80,00
21296;VEGAFINA SERIE 2 SHORT BELICOSO (10);1;Caja;50,00
21348;AMSTERDAMER 40 G;5;Bolsa;4,50
21363;DUCADOS RUBIO 170G;1;Bolsa;39,85
21797;FORTUNA CUBO LIAR/ENTU (80 G);3;Lata;18,15
22052;AROMAS DEL CARIBE SHORT ROBUSTO 25 PW;1;Caja;45,00
22053;AROMAS DEL CARIBE TORPEDOS 25 PW;1;Caja;45,00
22055;AROMAS DEL CARIBE DEMI TASSE 25 PW;1;Caja;35,00
22056;AROMAS DEL CARIBE G. ROBUSTO 25 PW;1;Caja;50,00
22550;MONTECRISTO N.5      (5)    PW;1;Caja;45,50
22562;MONTECRISTO N.4         (5) PW;1;Estuche;63,50
22572;H.MONTERREY P. ROBUSTOS (3) PW;1;Estuche;46,20
22573;MONTECRISTO N.4      (3)    PW;1;Estuche;38,10
22629;F.T.PARTAGAS SER.D N.4 TUB(3)PW;1;Estuche;65,70
