codigo;descripcion;precio;unidades;um
3523364;LA AURORA 107 USA MADURO SS ROBUSTO 5;29.25;1;Estuche
3523365;LA AURORA MADURO 1985 ROBUSTO (5);29.75;1;Estuche
3523366;LA AURORA CAMEROON 1903 ROBUSTO (5);29.25;1;Estuche
3523367;LA AURORA CONNECTICUT 1987 ROBUSTO (5);29.25;1;Estuche
3523368;LA AURORA COROJO 1962 ROBUSTO (5);29.25;1;Estuche
3523420;CLUBMASTER MINI FILTER ICELAND (20) TTE;4.70;10;Lata
3523489;MOON HABANA 500 G TTE. TABACO PIPA TTE;39.00;1;Bote
3523516;FAIRGREEN ARTESANO DISPLAY 300 TT;55.00;1;Unidad
3523519;EASTENDERS ORIGINAL BLEND BOT CARTÓN 100;7.00;1;Bote
3523527;LA PRIMOROSA CORONITAS (25) TTE;10.50;1;Estuche
3523537;DAVIDOFF CHEFS EDITION 2025 (10);550.00;1;Caja
3523541;REDS AMERICAN BLEND WHITE KS 20S;4.60;10;Cajetilla
3523547;AL FAKHER MAGIC LOVE CRAFTED MIXES 50G;3.70;10;Caja
3523548;AL FAKHER MAGIC LOVE CRAFTED MIXES 200G;13.50;1;Bote
3523549;AL FAKHER MAGIC LOVE CRAFTED MIXES 900G;55.90;1;Bote
3523550;AL FAKHER IVORY GOLD 200 G;19.95;1;Bote
3523551;AL FAKHER POLAR FREEZE 200 G;19.95;1;Bote
3523552;TORRES QUART CAMPESINOS (10);7.50;10;Estuche
3523618;SHISHA KARTEL HAPPY HOUND 200G;17.95;1;Caja
3523619;SHISHA KARTEL BOUNCER BRUNO 200G;17.95;1;Caja
3523642;DISPENSADOR MIX NOB SSL FRESH;200.00;1;Unidad
3523662;REIG XS (150) DISP ACT ENE26;43.00;10;Unidad
3523663;REIG 1 (180) DISP ACT 26;56.50;10;Unidad
3523664;REIG 15 MINOR (100) DISP AT 26;55.00;10;Unidad
3523665;DANNEMANN MOODS FILT (200) DISP MAR26;67.00;5;Unidad
3523721;LA AURORA ESCOGIDOS LANCERO E.L. (15);258.00;1;Caja
3523732;WINSTON SELECTION 40s;10.00;5;Cajetilla
3523750;TRINIDAD WIDE SHORT (6)-TES;18.60;10;Caja
3523751;NEO SIGNATURE TOBACCO (20);4.00;10;Cajetilla
3523785;COHIBA WIDE SHORT ED.24 (50);225.00;1;Caja
3523787;KINGSTREET 19GR;1.65;5;Bolsa
3523788;KINGSTREET 95GR;7.90;1;Bote
3523789;KINGSTON SPECIAL EDITION 100 G;7.00;1;Lata
3523790;EASTWOOD SPECIAL EDITION 20 G;1.50;10;Bolsa
3523852;DISPENSADOR LUCKIES (BALEARES);152.00;1;Unidad
3523874;ELIXYR X-LINE;4.80;10;Cajetilla
3523881;CANDLELIGHT CLUB HAVANA (50);10.00;3;Estuche
3523956;SPECIAL STAR AMERICAN BLEND TOB PIP 85 G;6.95;1;Bolsa
3523961;DAVIDOFF YEAR OF THE HORSE (10);650.00;1;Caja
3523995;EVO BRONZE STICKS;4.50;10;Cajetilla
3523996;EVO AMBER STICKS;4.50;10;Cajetilla
3523997;EVO AZURE STICKS;4.50;10;Cajetilla
3523998;EVO BURGUNDY STICKS;4.50;10;Cajetilla
3523999;EVO GOLD STICKS;4.50;10;Cajetilla
3524006;HAMPTON PIPE GOLD 20 G;1.70;10;Bolsa
3524007;HAMPTON PIPE GOLD 12 G;1.10;10;Bolsa
3524009;WINSTON SELECTION LARGO 28S;7.00;8;Cajetilla
3524010;KOPP CARIBBEAN BLUE BELLAMY 50 G;17.50;1;Lata
3524011;KOPP CARIBBEAN BLUE DRAKE 50 G;17.50;1;Lata
3524012;KOPP CARIBBEAN BLUE RACKHAM 50 G;17.50;1;Lata
3524013;KOPP CARIBBEAN BLUE GRAHAM 50 G;17.50;1;Lata
3524014;ROBERT McCONNELL ORIENTAL 50 G;15.50;1;Lata
